Код товара,Наименование товара,Псевдоним,Цена,Краткое описание,Полное описание,Title страницы,Усиленная дверная коробка B90,Изображение,Алюминиевый нащельник,Открывание,Цвет,Цвет иллюминатора,Наличник,Title Изображения,Ключевые слова,Свободный атрибут,Размер полотна,Мета-описание
gladkaya-plastikovaya-odnostvorc,Гладкая пластиковая одностворчатая дверь POSEIDON серая с отбойной пластиной,gladkaya-plastikovaya-odnostvorchataya-dver-poseidon-seraya-s-otbojnoj-plastinoj,18400,Гладкая пластиковая одностворчатая дверь POSEIDON серая с отбойной пластиной,"Наименование: Гладкая пластиковая одностворчатая дверь POSEIDON серая с отбойной пластиной
Производитель: Дверной Тон (Россия)
Цвет: Серый
Размеры (по полотну): 600 x 2000 мм, 700 x 2000 мм, 800 x 2000 мм и 900 x 2000 мм.
Размеры (по коробке): 670 x 2050 мм, 770 x 2050 мм, 870 x 2050 мм и 970 x 2050 мм.
Размеры (по проему): 700 x 2100 мм, 800 x 2100 мм, 900 x 2100 мм и 1000 x 2100 мм.
Размеры (в упаковке): 710 х 2120 мм, 810 х 2120 мм, 910 х 2120 мм, 1010 х 2120 мм. 
Толщина полотна: 40 мм.
Дверное полотно выполнено полностью из полимерных материалов.

Заполнение полотна мелко ячеистый пенополистирол, размер ячеек 0.1 мм. Благодаря данному заполнению полотно имеет низкую теплопроводность и высокие показатели звукоизоляции.
Каркас полотна ФСФ фанера.
Покрытие полотна лист жесткого ПВХ. 

Дверная коробка выполнена из вспененного ДПК сечением 75х40, запиленная под 45 градусов.
Преимущества пластиковой двери POSEIDON:

100% влагостойкость
Сертификация дверей согласно всем правилам и стандартам
Высокая тепло и звукоизоляция
Долговечность
Экологичность
Высокая устойчивость к обработке химическими средствами
Простота установки
Возможность изготовления нестандартных размеров


Дополнительные материалы:

<li class=""item-1091""><a href=""plastikovye-vlagostojkie-dveri-poseidon.html"" rel=""alternate"">Сертификаты для пластиковых влагостойких дверей POSEIDON™</a>

",Гладкая пластиковая одностворчатая дверь POSEIDON серая с отбойной пластиной,,full_______________________________________________________________________________POSEIDON__________________________________________________.png|111.png,,,,,С двух сторон;+4175|С одной стороны;+2505|Без наличника,Гладкая пластиковая одностворчатая дверь POSEIDON серая с отбойной пластиной|,"Гладкая пластиковая дверь POSEIDON серая, гладкая пластиковая дверь, влагостойкая дверь, композитная дверь, медицинская дверь серая, композитная влагостойкая дверь",,900х2000|800х2000|700х2000|600х2000,"Гладкая пластиковая одностворчатая дверь POSEIDON серая с отбойной пластиной, купить пластиковую дверь POSEIDON, полотно 600, 700, 800, 900, 1000 мм в сером цвете."
gladkaya-plastikovaya-dvukhstvor,Гладкая пластиковая двухстворчатая дверь POSEIDON серая,gladkaya-plastikovaya-dvukhstvorchataya-dver-poseidon-seraya,27395,Гладкая пластиковая двухстворчатая дверь POSEIDON серая,"Наименование: Гладкая пластиковая двухстворчатая дверь POSEIDON серая
Производитель: Дверной Тон (Россия)
Цвет: Серый
Размеры (по полотну): 600+600 x 2000/1900/1800 мм, 700+700 x 2000/1900/1800 мм, 800+800 x 2000/1900/1800 мм, 900+900 x 2000/1900/1800 мм и 1000+1000 х 2000 мм.
Размеры (по коробке): 1270 x 2050 мм, 1470 x 2050 мм, 1670 x 2050 мм, 1870 x 2050 мм и 2070 х 2050 мм.
Размеры (по проему): 1300 x 2100 мм, 1500 x 2100 мм, 1700 x 2100 мм, 1900 x 2100 мм и 2100 х 2100 мм
Размеры (в упаковке): 1280 х 2120 мм, 1480 х 2120 мм, 1680 х 2120 мм, 1880 х 2120 мм и 2080 х 2120 мм.
Толщина полотна: 40 мм.
Дверное полотно выполнено полностью из полимерных материалов.

Заполнение полотна мелко ячеистый пенополистирол, размер ячеек 0.1 мм. Благодаря данному заполнению полотно имеет низкую теплопроводность и высокие показатели звукоизоляции.
Каркас полотна ФСФ фанера.
Покрытие полотна лист жесткого ПВХ. 

Дверная коробка выполнена из вспененного ДПК сечением 75х40, запиленная под 45 градусов.
Преимущества пластиковой двери POSEIDON:

100% влагостойкость
Сертификация дверей согласно всем правилам и стандартам
Высокая тепло и звукоизоляция
Долговечность
Экологичность
Высокая устойчивость к обработке химическими средствами
Простота установки
Возможность изготовления нестандартных размеров


Дополнительные материалы:

<li class=""item-1091""><a href=""plastikovye-vlagostojkie-dveri-poseidon.html"" rel=""alternate"">Сертификаты для пластиковых влагостойких дверей POSEIDON™</a>
",Гладкая пластиковая двухстворчатая дверь POSEIDON серая,,full___________________________________________________________________POSEDON.png|110.png,Да;+690|Нет,,,,С двух сторон;+5010|С одной стороны;+2505|Без наличника,Гладкая пластиковая двухстворчатая дверь POSEIDON серая|,"Гладкая пластиковая дверь POSEIDON серая, гладкая пластиковая дверь, влагостойкая дверь, композитная дверь, медицинская дверь серая, композитная влагостойкая дверь",,800+800х2000|700+700х2000|600+600х2000,"Гладкая пластиковая дверь POSEIDON, серая  Купить пластиковую дверь POSEIDON, полотно 600, 700, 800, 900 + 600, 700, 800, 900 мм в сером цвете."
gladkaya-plastikovaya-odnostvorc,Гладкая пластиковая одностворчатая дверь POSEIDON серая с иллюминатором,gladkaya-plastikovaya-odnostvorchataya-dver-poseidon-seraya-s-illyuminatorom,23730,Гладкая пластиковая одностворчатая дверь POSEIDON серая с иллюминатором,"Наименование: Гладкая пластиковая одностворчатая дверь POSEIDON серая с иллюминатором
Производитель: Дверной Тон (Россия)
Цвет: Серый
Размеры (по полотну): 600 x 2000 мм, 700 x 2000 мм, 800 x 2000 мм и 900 x 2000 мм.
Размеры (по коробке): 670 x 2050 мм, 770 x 2050 мм, 870 x 2050 мм и 970 x 2050 мм.
Размеры (по проему): 700 x 2100 мм, 800 x 2100 мм, 900 x 2100 мм и 1000 x 2100 мм.
Размеры (в упаковке): 710 х 2120 мм, 810 х 2120 мм, 910 х 2120 мм, 1010 х 2120 мм. 
Толщина полотна: 40 мм.
Дверное полотно выполнено полностью из полимерных материалов.

Заполнение полотна мелко ячеистый пенополистирол, размер ячеек 0.1 мм. Благодаря данному заполнению полотно имеет низкую теплопроводность и высокие показатели звукоизоляции.
Каркас полотна ФСФ фанера.
Покрытие полотна лист жесткого ПВХ. 

Дверная коробка выполнена из вспененного ДПК сечением 75х40, запиленная под 45 градусов.
Преимущества пластиковой двери POSEIDON:

100% влагостойкость
Сертификация дверей согласно всем правилам и стандартам
Высокая тепло и звукоизоляция
Долговечность
Экологичность
Высокая устойчивость к обработке химическими средствами
Простота установки
Возможность изготовления нестандартных размеров


Дополнительные материалы:

<li class=""item-1091""><a href=""plastikovye-vlagostojkie-dveri-poseidon.html"" rel=""alternate"">Сертификаты для пластиковых влагостойких дверей POSEIDON™</a>

",Гладкая пластиковая одностворчатая дверь POSEIDON серая с иллюминатором,,full_______________________________________________________________________________POSEIDON_________________________________________.png|112.png,,,,,С двух сторон;+4175|С одной стороны;+2505|Без наличника,Гладкая пластиковая одностворчатая дверь POSEIDON серая с иллюминатором|,"Гладкая пластиковая дверь POSEIDON серая, гладкая пластиковая дверь, влагостойкая дверь, композитная дверь, медицинская дверь серая, композитная влагостойкая дверь",,900х2000|800х2000|700х2000|600х2000,"Гладкая пластиковая одностворчатая дверь POSEIDON серая с иллюминатором, серая  Купить пластиковую дверь POSEIDON, полотно 600, 700, 800, 900, 1000 мм в сером цвете."
gladkaya-plastikovaya-odnostvorc,Гладкая пластиковая одностворчатая дверь POSEIDON акация светлая поперечная,gladkaya-plastikovaya-odnostvorchataya-dver-poseidon-akatsiya-svetlaya-poperechnaya,18920,Гладкая пластиковая одностворчатая дверь POSEIDON акация светлая поперечная,"Наименование: Гладкая пластиковая одностворчатая дверь POSEIDON акация светлая поперечная
Производитель: Дверной Тон (Россия)
Цвет: Акация светлая поперечная
Размеры (по полотну): 600 x 2000 мм, 700 x 2000 мм, 800 x 2000 мм и 900 x 2000 мм.
Размеры (по коробке): 670 x 2050 мм, 770 x 2050 мм, 870 x 2050 мм и 970 x 2050 мм.
Размеры (по проему): 700 x 2100 мм, 800 x 2100 мм, 900 x 2100 мм и 1000 x 2100 мм.
Размеры (в упаковке): 710 х 2120 мм, 810 х 2120 мм, 910 х 2120 мм, 1010 х 2120 мм. 
Толщина полотна: 40 мм.
Дверное полотно выполнено полностью из полимерных материалов.

Заполнение полотна мелко ячеистый пенополистирол, размер ячеек 0.1 мм. Благодаря данному заполнению полотно имеет низкую теплопроводность и высокие показатели звукоизоляции.
Каркас полотна ФСФ фанера.
Покрытие полотна лист жесткого ПВХ. 

Дверная коробка выполнена из вспененного ДПК сечением 75х40, запиленная под 45 градусов.
Преимущества пластиковой двери POSEIDON:

100% влагостойкость
Сертификация дверей согласно всем правилам и стандартам
Высокая тепло и звукоизоляция
Долговечность
Экологичность
Высокая устойчивость к обработке химическими средствами
Простота установки
Возможность изготовления нестандартных размеров


Дополнительные материалы:

<li class=""item-1091""><a href=""plastikovye-vlagostojkie-dveri-poseidon.html"" rel=""alternate"">Сертификаты для пластиковых влагостойких дверей POSEIDON™</a>

",Гладкая пластиковая одностворчатая дверь POSEIDON акация светлая поперечная,,9_______________________________________.jpg|115.png,,,,,С двух сторон;+3750|С одной стороны;+2250|Без наличника,|,"Гладкая пластиковая одностворчатая дверь POSEIDON акация светлая поперечная, гладкая пластиковая дверь, влагостойкая дверь, композитная дверь, медицинская дверь белая, композитная влагостойкая дверь",,900х2000|800х2000|700х2000|600х2000,"Гладкая пластиковая одностворчатая дверь POSEIDON акация светлая поперечная, купить пластиковую дверь POSEIDON, полотно 600, 700, 800, 900, 1000 мм в белом цвете."
gladkaya-plastikovaya-odnostvorc,Гладкая пластиковая одностворчатая дверь POSEIDON венге 950,gladkaya-plastikovaya-odnostvorchataya-dver-poseidon-venge-950,18920,Гладкая пластиковая одностворчатая дверь POSEIDON венге 950,"Наименование: Гладкая пластиковая одностворчатая дверь POSEIDON венге 950
Производитель: Дверной Тон (Россия)
Цвет: Венге 950
Размеры (по полотну): 600 x 2000 мм, 700 x 2000 мм, 800 x 2000 мм и 900 x 2000 мм.
Размеры (по коробке): 670 x 2050 мм, 770 x 2050 мм, 870 x 2050 мм и 970 x 2050 мм.
Размеры (по проему): 700 x 2100 мм, 800 x 2100 мм, 900 x 2100 мм и 1000 x 2100 мм.
Размеры (в упаковке): 710 х 2120 мм, 810 х 2120 мм, 910 х 2120 мм, 1010 х 2120 мм. 
Толщина полотна: 40 мм.
Дверное полотно выполнено полностью из полимерных материалов.

Заполнение полотна мелко ячеистый пенополистирол, размер ячеек 0.1 мм. Благодаря данному заполнению полотно имеет низкую теплопроводность и высокие показатели звукоизоляции.
Каркас полотна ФСФ фанера.
Покрытие полотна лист жесткого ПВХ. 

Дверная коробка выполнена из вспененного ДПК сечением 75х40, запиленная под 45 градусов.
Преимущества пластиковой двери POSEIDON:

100% влагостойкость
Сертификация дверей согласно всем правилам и стандартам
Высокая тепло и звукоизоляция
Долговечность
Экологичность
Высокая устойчивость к обработке химическими средствами
Простота установки
Возможность изготовления нестандартных размеров


Дополнительные материалы:

<li class=""item-1091""><a href=""plastikovye-vlagostojkie-dveri-poseidon.html"" rel=""alternate"">Сертификаты для пластиковых влагостойких дверей POSEIDON™</a>

",Гладкая пластиковая одностворчатая дверь POSEIDON венге 950,,19____________________.jpg|116.png,,,,,С двух сторон;+3750|С одной стороны;+2250|Без наличника,|,"Гладкая пластиковая одностворчатая дверь POSEIDON венге 950, гладкая пластиковая дверь, влагостойкая дверь, композитная дверь, медицинская дверь белая, композитная влагостойкая дверь",,900х2000|800х2000|700х2000|600х2000,"Гладкая пластиковая одностворчатая дверь POSEIDON венге 950, купить пластиковую дверь POSEIDON, полотно 600, 700, 800, 900, 1000 мм в белом цвете."
gladkaya-plastikovaya-odnostvorc,Гладкая пластиковая одностворчатая дверь POSEIDON дуб крымский светлый,gladkaya-plastikovaya-odnostvorchataya-dver-poseidon-dub-krymskij-svetlyj,18920,Гладкая пластиковая одностворчатая дверь POSEIDON дуб крымский светлый,"Наименование: Гладкая пластиковая одностворчатая дверь POSEIDON дуб крымский светлый
Производитель: Дверной Тон (Россия)
Цвет: Дуб крымский светлый
Размеры (по полотну): 600 x 2000 мм, 700 x 2000 мм, 800 x 2000 мм и 900 x 2000 мм.
Размеры (по коробке): 670 x 2050 мм, 770 x 2050 мм, 870 x 2050 мм и 970 x 2050 мм.
Размеры (по проему): 700 x 2100 мм, 800 x 2100 мм, 900 x 2100 мм и 1000 x 2100 мм.
Размеры (в упаковке): 710 х 2120 мм, 810 х 2120 мм, 910 х 2120 мм, 1010 х 2120 мм. 
Толщина полотна: 40 мм.
Дверное полотно выполнено полностью из полимерных материалов.

Заполнение полотна мелко ячеистый пенополистирол, размер ячеек 0.1 мм. Благодаря данному заполнению полотно имеет низкую теплопроводность и высокие показатели звукоизоляции.
Каркас полотна ФСФ фанера.
Покрытие полотна лист жесткого ПВХ. 

Дверная коробка выполнена из вспененного ДПК сечением 75х40, запиленная под 45 градусов.
Преимущества пластиковой двери POSEIDON:

100% влагостойкость
Сертификация дверей согласно всем правилам и стандартам
Высокая тепло и звукоизоляция
Долговечность
Экологичность
Высокая устойчивость к обработке химическими средствами
Простота установки
Возможность изготовления нестандартных размеров


Дополнительные материалы:

<li class=""item-1091""><a href=""plastikovye-vlagostojkie-dveri-poseidon.html"" rel=""alternate"">Сертификаты для пластиковых влагостойких дверей POSEIDON™</a>

",Гладкая пластиковая одностворчатая дверь POSEIDON дуб крымский светлый,,1________________________.jpg|117.png,,,,,С двух сторон;+3750|С одной стороны;+2250|Без наличника,|,"Гладкая пластиковая одностворчатая дверь POSEIDON дуб крымский светлый, гладкая пластиковая дверь, влагостойкая дверь, композитная дверь, медицинская дверь белая, композитная влагостойкая дверь",,900х2000|800х2000|700х2000|600х2000,"Гладкая пластиковая одностворчатая дверь POSEIDON дуб крымский светлый, купить пластиковую дверь POSEIDON, полотно 600, 700, 800, 900, 1000 мм в белом цвете."
gladkaya-plastikovaya-odnostvorc,Гладкая пластиковая одностворчатая дверь POSEIDON дуб неаполь,gladkaya-plastikovaya-odnostvorchataya-dver-poseidon-dub-neapol,18920,Гладкая пластиковая одностворчатая дверь POSEIDON дуб неаполь,"Наименование: Гладкая пластиковая одностворчатая дверь POSEIDON дуб неаполь
Производитель: Дверной Тон (Россия)
Цвет: Дуб неаполь
Размеры (по полотну): 600 x 2000 мм, 700 x 2000 мм, 800 x 2000 мм и 900 x 2000 мм.
Размеры (по коробке): 670 x 2050 мм, 770 x 2050 мм, 870 x 2050 мм и 970 x 2050 мм.
Размеры (по проему): 700 x 2100 мм, 800 x 2100 мм, 900 x 2100 мм и 1000 x 2100 мм.
Размеры (в упаковке): 710 х 2120 мм, 810 х 2120 мм, 910 х 2120 мм, 1010 х 2120 мм. 
Толщина полотна: 40 мм.
Дверное полотно выполнено полностью из полимерных материалов.

Заполнение полотна мелко ячеистый пенополистирол, размер ячеек 0.1 мм. Благодаря данному заполнению полотно имеет низкую теплопроводность и высокие показатели звукоизоляции.
Каркас полотна ФСФ фанера.
Покрытие полотна лист жесткого ПВХ. 

Дверная коробка выполнена из вспененного ДПК сечением 75х40, запиленная под 45 градусов.
Преимущества пластиковой двери POSEIDON:

100% влагостойкость
Сертификация дверей согласно всем правилам и стандартам
Высокая тепло и звукоизоляция
Долговечность
Экологичность
Высокая устойчивость к обработке химическими средствами
Простота установки
Возможность изготовления нестандартных размеров


Дополнительные материалы:

<li class=""item-1091""><a href=""plastikovye-vlagostojkie-dveri-poseidon.html"" rel=""alternate"">Сертификаты для пластиковых влагостойких дверей POSEIDON™</a>

",Гладкая пластиковая одностворчатая дверь POSEIDON дуб неаполь,,2______________________.jpg|118.png,,,,,С двух сторон;+3750|С одной стороны;+2250|Без наличника,|,"Гладкая пластиковая одностворчатая дверь POSEIDON дуб неаполь, гладкая пластиковая дверь, влагостойкая дверь, композитная дверь, медицинская дверь белая, композитная влагостойкая дверь",,900х2000|800х2000|700х2000|600х2000,"Гладкая пластиковая одностворчатая дверь POSEIDON дуб неаполь, купить пластиковую дверь POSEIDON, полотно 600, 700, 800, 900, 1000 мм в белом цвете."
gladkaya-plastikovaya-odnostvorc,Гладкая пластиковая одностворчатая дверь POSEIDON дуб седой,gladkaya-plastikovaya-odnostvorchataya-dver-poseidon-dub-sedoj,18920,Гладкая пластиковая одностворчатая дверь POSEIDON дуб седой,"Наименование: Гладкая пластиковая одностворчатая дверь POSEIDON дуб седой
Производитель: Дверной Тон (Россия)
Цвет: Дуб седой
Размеры (по полотну): 600 x 2000 мм, 700 x 2000 мм, 800 x 2000 мм и 900 x 2000 мм.
Размеры (по коробке): 670 x 2050 мм, 770 x 2050 мм, 870 x 2050 мм и 970 x 2050 мм.
Размеры (по проему): 700 x 2100 мм, 800 x 2100 мм, 900 x 2100 мм и 1000 x 2100 мм.
Размеры (в упаковке): 710 х 2120 мм, 810 х 2120 мм, 910 х 2120 мм, 1010 х 2120 мм. 
Толщина полотна: 40 мм.
Дверное полотно выполнено полностью из полимерных материалов.

Заполнение полотна мелко ячеистый пенополистирол, размер ячеек 0.1 мм. Благодаря данному заполнению полотно имеет низкую теплопроводность и высокие показатели звукоизоляции.
Каркас полотна ФСФ фанера.
Покрытие полотна лист жесткого ПВХ. 

Дверная коробка выполнена из вспененного ДПК сечением 75х40, запиленная под 45 градусов.
Преимущества пластиковой двери POSEIDON:

100% влагостойкость
Сертификация дверей согласно всем правилам и стандартам
Высокая тепло и звукоизоляция
Долговечность
Экологичность
Высокая устойчивость к обработке химическими средствами
Простота установки
Возможность изготовления нестандартных размеров


Дополнительные материалы:

<li class=""item-1091""><a href=""plastikovye-vlagostojkie-dveri-poseidon.html"" rel=""alternate"">Сертификаты для пластиковых влагостойких дверей POSEIDON™</a>

",Гладкая пластиковая одностворчатая дверь POSEIDON дуб седой,,3___________________________.jpg|119.png,,,,,С двух сторон;+3750|С одной стороны;+2250|Без наличника,|,"Гладкая пластиковая одностворчатая дверь POSEIDON дуб седой, гладкая пластиковая дверь, влагостойкая дверь, композитная дверь, медицинская дверь белая, композитная влагостойкая дверь",,900х2000|800х2000|700х2000|600х2000,"Гладкая пластиковая одностворчатая дверь POSEIDON дуб седой, купить пластиковую дверь POSEIDON, полотно 600, 700, 800, 900, 1000 мм в белом цвете."
gladkaya-plastikovaya-odnostvorc,Гладкая пластиковая одностворчатая дверь POSEIDON дуб сонома светлый,gladkaya-plastikovaya-odnostvorchataya-dver-poseidon-dub-sonoma-svetlyj,18920,Гладкая пластиковая одностворчатая дверь POSEIDON дуб сонома светлый,"Наименование: Гладкая пластиковая одностворчатая дверь POSEIDON дуб сонома светлый
Производитель: Дверной Тон (Россия)
Цвет: Дуб сонома светлый
Размеры (по полотну): 600 x 2000 мм, 700 x 2000 мм, 800 x 2000 мм и 900 x 2000 мм.
Размеры (по коробке): 670 x 2050 мм, 770 x 2050 мм, 870 x 2050 мм и 970 x 2050 мм.
Размеры (по проему): 700 x 2100 мм, 800 x 2100 мм, 900 x 2100 мм и 1000 x 2100 мм.
Размеры (в упаковке): 710 х 2120 мм, 810 х 2120 мм, 910 х 2120 мм, 1010 х 2120 мм. 
Толщина полотна: 40 мм.
Дверное полотно выполнено полностью из полимерных материалов.

Заполнение полотна мелко ячеистый пенополистирол, размер ячеек 0.1 мм. Благодаря данному заполнению полотно имеет низкую теплопроводность и высокие показатели звукоизоляции.
Каркас полотна ФСФ фанера.
Покрытие полотна лист жесткого ПВХ. 

Дверная коробка выполнена из вспененного ДПК сечением 75х40, запиленная под 45 градусов.
Преимущества пластиковой двери POSEIDON:

100% влагостойкость
Сертификация дверей согласно всем правилам и стандартам
Высокая тепло и звукоизоляция
Долговечность
Экологичность
Высокая устойчивость к обработке химическими средствами
Простота установки
Возможность изготовления нестандартных размеров


Дополнительные материалы:

<li class=""item-1091""><a href=""plastikovye-vlagostojkie-dveri-poseidon.html"" rel=""alternate"">Сертификаты для пластиковых влагостойких дверей POSEIDON™</a>

",Гладкая пластиковая одностворчатая дверь POSEIDON дуб сонома светлый,,5____________________.jpg|120.png,,,,,С двух сторон;+3750|С одной стороны;+2250|Без наличника,|,"Гладкая пластиковая одностворчатая дверь POSEIDON дуб сонома светлый, гладкая пластиковая дверь, влагостойкая дверь, композитная дверь, медицинская дверь белая, композитная влагостойкая дверь",,900х2000|800х2000|700х2000|600х2000,"Гладкая пластиковая одностворчатая дверь POSEIDON дуб сонома светлый, купить пластиковую дверь POSEIDON, полотно 600, 700, 800, 900, 1000 мм в белом цвете."
gladkaya-plastikovaya-odnostvorc,Гладкая пластиковая одностворчатая дверь POSEIDON дуб сильвер поперечный,gladkaya-plastikovaya-odnostvorchataya-dver-poseidon-dub-silver-poperechnyj,18920,Гладкая пластиковая одностворчатая дверь POSEIDON дуб сильвер поперечный,"Наименование: Гладкая пластиковая одностворчатая дверь POSEIDON дуб сильвер поперечный
Производитель: Дверной Тон (Россия)
Цвет: Дуб сильвер поперечный
Размеры (по полотну): 600 x 2000 мм, 700 x 2000 мм, 800 x 2000 мм и 900 x 2000 мм.
Размеры (по коробке): 670 x 2050 мм, 770 x 2050 мм, 870 x 2050 мм и 970 x 2050 мм.
Размеры (по проему): 700 x 2100 мм, 800 x 2100 мм, 900 x 2100 мм и 1000 x 2100 мм.
Размеры (в упаковке): 710 х 2120 мм, 810 х 2120 мм, 910 х 2120 мм, 1010 х 2120 мм. 
Толщина полотна: 40 мм.
Дверное полотно выполнено полностью из полимерных материалов.

Заполнение полотна мелко ячеистый пенополистирол, размер ячеек 0.1 мм. Благодаря данному заполнению полотно имеет низкую теплопроводность и высокие показатели звукоизоляции.
Каркас полотна ФСФ фанера.
Покрытие полотна лист жесткого ПВХ. 

Дверная коробка выполнена из вспененного ДПК сечением 75х40, запиленная под 45 градусов.
Преимущества пластиковой двери POSEIDON:

100% влагостойкость
Сертификация дверей согласно всем правилам и стандартам
Высокая тепло и звукоизоляция
Долговечность
Экологичность
Высокая устойчивость к обработке химическими средствами
Простота установки
Возможность изготовления нестандартных размеров


Дополнительные материалы:

<li class=""item-1091""><a href=""plastikovye-vlagostojkie-dveri-poseidon.html"" rel=""alternate"">Сертификаты для пластиковых влагостойких дверей POSEIDON™</a>

",Гладкая пластиковая одностворчатая дверь POSEIDON дуб сильвер поперечный,,4_________________________________.jpg|121.png,,,,,С двух сторон;+3750|С одной стороны;+2250|Без наличника,|,"Гладкая пластиковая одностворчатая дверь POSEIDON дуб сильвер поперечный, гладкая пластиковая дверь, влагостойкая дверь, композитная дверь, медицинская дверь белая, композитная влагостойкая дверь",,900х2000|800х2000|700х2000|600х2000,"Гладкая пластиковая одностворчатая дверь POSEIDON дуб сильвер поперечный, купить пластиковую дверь POSEIDON, полотно 600, 700, 800, 900, 1000 мм в белом цвете."
gladkaya-plastikovaya-odnostvorc,Гладкая пластиковая одностворчатая дверь POSEIDON дуб тоскано поперечный,gladkaya-plastikovaya-odnostvorchataya-dver-poseidon-dub-toskano-poperechnyj,18920,Гладкая пластиковая одностворчатая дверь POSEIDON дуб тоскано поперечный,"Наименование: Гладкая пластиковая одностворчатая дверь POSEIDON дуб тоскано поперечный
Производитель: Дверной Тон (Россия)
Цвет: Дуб тоскано поперечный
Размеры (по полотну): 600 x 2000 мм, 700 x 2000 мм, 800 x 2000 мм и 900 x 2000 мм.
Размеры (по коробке): 670 x 2050 мм, 770 x 2050 мм, 870 x 2050 мм и 970 x 2050 мм.
Размеры (по проему): 700 x 2100 мм, 800 x 2100 мм, 900 x 2100 мм и 1000 x 2100 мм.
Размеры (в упаковке): 710 х 2120 мм, 810 х 2120 мм, 910 х 2120 мм, 1010 х 2120 мм. 
Толщина полотна: 40 мм.
Дверное полотно выполнено полностью из полимерных материалов.

Заполнение полотна мелко ячеистый пенополистирол, размер ячеек 0.1 мм. Благодаря данному заполнению полотно имеет низкую теплопроводность и высокие показатели звукоизоляции.
Каркас полотна ФСФ фанера.
Покрытие полотна лист жесткого ПВХ. 

Дверная коробка выполнена из вспененного ДПК сечением 75х40, запиленная под 45 градусов.
Преимущества пластиковой двери POSEIDON:

100% влагостойкость
Сертификация дверей согласно всем правилам и стандартам
Высокая тепло и звукоизоляция
Долговечность
Экологичность
Высокая устойчивость к обработке химическими средствами
Простота установки
Возможность изготовления нестандартных размеров


Дополнительные материалы:

<li class=""item-1091""><a href=""plastikovye-vlagostojkie-dveri-poseidon.html"" rel=""alternate"">Сертификаты для пластиковых влагостойких дверей POSEIDON™</a>
",Гладкая пластиковая одностворчатая дверь POSEIDON дуб тоскано поперечный,,6_________________________________.jpg|122.png,,,,,С двух сторон;+3750|С одной стороны;+2250|Без наличника,|,"Гладкая пластиковая одностворчатая дверь POSEIDON дуб тоскано поперечный, гладкая пластиковая дверь, влагостойкая дверь, композитная дверь, медицинская дверь белая, композитная влагостойкая дверь",,900х2000|800х2000|700х2000|600х2000,"Гладкая пластиковая одностворчатая дверь POSEIDON дуб тоскано поперечный, купить пластиковую дверь POSEIDON, полотно 600, 700, 800, 900, 1000 мм в белом цвете."
gladkaya-plastikovaya-odnostvorc,Гладкая пластиковая одностворчатая дверь POSEIDON жемчужная шелкография,gladkaya-plastikovaya-odnostvorchataya-dver-poseidon-zhemchuzhnaya-shelkografiya,18920,Гладкая пластиковая одностворчатая дверь POSEIDON жемчужная шелкография,"Наименование: Гладкая пластиковая одностворчатая дверь POSEIDON жемчужная шелкография
Производитель: Дверной Тон (Россия)
Цвет: Жемчужная шелкография
Размеры (по полотну): 600 x 2000 мм, 700 x 2000 мм, 800 x 2000 мм и 900 x 2000 мм.
Размеры (по коробке): 670 x 2050 мм, 770 x 2050 мм, 870 x 2050 мм и 970 x 2050 мм.
Размеры (по проему): 700 x 2100 мм, 800 x 2100 мм, 900 x 2100 мм и 1000 x 2100 мм.
Размеры (в упаковке): 710 х 2120 мм, 810 х 2120 мм, 910 х 2120 мм, 1010 х 2120 мм. 
Толщина полотна: 40 мм.
Дверное полотно выполнено полностью из полимерных материалов.

Заполнение полотна мелко ячеистый пенополистирол, размер ячеек 0.1 мм. Благодаря данному заполнению полотно имеет низкую теплопроводность и высокие показатели звукоизоляции.
Каркас полотна ФСФ фанера.
Покрытие полотна лист жесткого ПВХ. 

Дверная коробка выполнена из вспененного ДПК сечением 75х40, запиленная под 45 градусов.
Преимущества пластиковой двери POSEIDON:

100% влагостойкость
Сертификация дверей согласно всем правилам и стандартам
Высокая тепло и звукоизоляция
Долговечность
Экологичность
Высокая устойчивость к обработке химическими средствами
Простота установки
Возможность изготовления нестандартных размеров


Дополнительные материалы:

<li class=""item-1091""><a href=""plastikovye-vlagostojkie-dveri-poseidon.html"" rel=""alternate"">Сертификаты для пластиковых влагостойких дверей POSEIDON™</a>

",Гладкая пластиковая одностворчатая дверь POSEIDON жемчужная шелкография,,7____________________________________.jpg|123.png,,,,,С двух сторон;+3750|С одной стороны;+2250|Без наличника,|,"Гладкая пластиковая одностворчатая дверь POSEIDON жемчужная шелкография, гладкая пластиковая дверь, влагостойкая дверь, композитная дверь, медицинская дверь белая, композитная влагостойкая дверь",,900х2000|800х2000|700х2000|600х2000,"Гладкая пластиковая одностворчатая дверь POSEIDON жемчужная шелкография, купить пластиковую дверь POSEIDON, полотно 600, 700, 800, 900, 1000 мм в белом цвете."
